kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
matrixMul.1.sm_75.ptx 206 : 14336000 148089760 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 205 : 14336000 153174176 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 204 : 14336000 154036736 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 201 : 1433600 10380608 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 200 : 1433600 10112128 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 199 : 1433600 10383200 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 198 : 1433600 9882048 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 197 : 1433600 14281920 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 196 : 1433600 14284960 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 195 : 1433600 14592992 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 194 : 1433600 9844352 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 193 : 1433600 16572544 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 192 : 1433600 14910464 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 178 : 1433600 14432960 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 177 : 1433600 14951008 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 176 : 1433600 9968576 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 175 : 1433600 14050016 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 174 : 1433600 8838720 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 173 : 1433600 20108224 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 172 : 1433600 19486048 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 171 : 1433600 20042784 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 217 : 14336000 87307136 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 170 : 1433600 18319936 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 267 : 14336000 541859104 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 216 : 14336000 564106624 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 169 : 1433600 17555200 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 266 : 14336000 541221472 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 179 : 1433600 10174432 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 180 : 1433600 10105376 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 181 : 1433600 9896480 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 182 : 1433600 0 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 184 : 1433600 10280736 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 185 : 1433600 10152768 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 186 : 1433600 10116864 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 187 : 1433600 15959648 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 188 : 1433600 10300192 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 189 : 1433600 10105536 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 190 : 1433600 14453984 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 191 : 1433600 10285376 0 0 0 0 0 0 0 
matrixMul.1.sm_75.ptx 218 : 14336000 558248288 0 448000 448000 0 0 0 0 
matrixMul.1.sm_75.ptx 219 : 14336000 567968960 0 448000 448000 0 0 0 0 
